ram console header, hw_status: 2, fiq step 0.
bin log 0.

[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]Get MD inf from META
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[0]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[1]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[2]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]md_inf[3]=0
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]arm_dt_memblock_reserve: 0x4e000000 - 0x4e007212 (0x00007213)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]mtk_wcn_consys_memory_reserve   :   0x7f200000 - 0x7f2fffff (0x00100000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][WMT-CONSYS-HW][I]mtk_wcn_consys_memory_reserve:memblock done: 0x7f200000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43f00000 - 0x43f0ffff (0x00010000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][memblock]mt_reserve: 0x43ff0000 - 0x43ffdfff (0x0000e000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD1 -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD2 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD3 not found
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_ENABLE_MD5 -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD1_SUPPORT -> 00000005
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD2_SUPPORT -> 00000001
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD3_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MTK_MD5_SUPPORT -> 00000003
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD1_SIZE -> 04000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD2_SIZE -> 01000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]FO:MD3_SMEM_SIZE -> 00000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]ccci_md_mem_reserve   :   0x7a000000 - 0x7e1fffff (0x04200000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][ccci0/util]META MD setting not found [0][0]
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x40000000 - 0x79ffffff (0x3a000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]creating mapping start pa: 0x40000000 @ 0xc0000000 , end pa: 0x60000000 @ 0xe0000000
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7e200000 - 0x7f1fffff (0x01000000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper][PHY layout]kernel   :   0x7f300000 - 0x7f4bffff (0x001c0000)
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_possible_cpus(): 4 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]@@@### num_present_cpus(): 1 ###@@@
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.rev setup: rev_10
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper]unified LK bootcmd lge.cable: 400MA
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_init: arch_timer_rate(0xc65d40), PHYS_SECURE_PPI=29, PHYS_NONSECURE_PPI=30, VIRT_PPI=27, HYP_PPI=26, 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: arch_timer_rate(0xc65d40), arch_timer_use_virtual=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_SECURE_PPI err=0 
[    0.000000 / 01-01 00:00:00.000] -(0)[0:swapper/0]arch_timer_register: request_percpu_irq PHYS_NONSECURE_PPI err=0 
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0]ram_console: buffer start: 0xe0800000, size: 0x10000
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0]ram_console: log size 0xfd40, start 0x79d2
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0]ram_console: lk[c0], linux[140], console[2c0]
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0]ram_console: old_header[df808000], buffer[e0800000], header_size[2c0]
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0]ram_console:bin_log_count[0]
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0][UART] mtk console setup : co->index 0 options:921600n1
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0][UART] mtk console setup : uart_set_option port(0) baud(921600) parity(n) bits(1) flow(n) - ret(0)
[    0.000000 / 01-01 00:00:00.000]  (0)[0:swapper/0][UART] mtk setting: (0, 0, 0, 0, 128)
[    0.040507 / 01-01 00:00:00.040]  (0)[1:swapper/0]init_get_max_DRAM_size done. phone_dram_sz: 0x40000000, kernel_mem_sz: 0x3f4c0000
[    0.040520 / 01-01 00:00:00.040]  (0)[1:swapper/0][BOOT_REASON] boot_reason = 2
[    0.060453 / 01-01 00:00:00.060]  (0)[1:swapper/0]Boot slave CPU
[    0.080462 / 01-01 00:00:00.080]  (0)[1:swapper/0]Boot slave CPU
[    0.100482 / 01-01 00:00:00.100]  (0)[1:swapper/0]Boot slave CPU
[    0.108961 / 01-01 00:00:00.100]  (1)[1:swapper/0][CHIP] CODE = 6752 8a00 ca01 0001, 0002 1a60 0000 0000, CA01 0001
[    0.108974 / 01-01 00:00:00.100] [CHIP] CODE = 00009E1E c04ab570
[    0.124962 / 01-01 00:00:00.120]  (1)[1:swapper/0][SPM] spm_base = f0006000, scp_i2c0_base = e087a400, scp_i2c1_base = e087c800, scp_i2c2_base = e087ec00
[    0.124976 / 01-01 00:00:00.120]  (1)[1:swapper/0][SPM] spm_irq_0 = 195, spm_irq_1 = 196, spm_irq_2 = 197, spm_irq_3 = 198
[    0.124990 / 01-01 00:00:00.120]  (1)[1:swapper/0][SPM] spm_irq_4 = 199, spm_irq_5 = 200, spm_irq_6 = 201, spm_irq_7 = 202
[    0.125003 / 01-01 00:00:00.120]  (1)[1:swapper/0][SPM] cksys_base = f0000000, infracfg_ao_base = f0001000, spm_mcucfg = f0200000
[    0.125036 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 195 to cpu 0
[    0.125048 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c0 = 0x00010101
[    0.125059 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 195 to cpu 0
[    0.125071 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c0 = 0x01010101
[    0.125088 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 196 to cpu 0
[    0.125100 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01010100
[    0.125111 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 196 to cpu 1
[    0.125123 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01010102
[    0.125140 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 197 to cpu 0
[    0.125152 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01010002
[    0.125163 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 197 to cpu 2
[    0.125174 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01010402
[    0.125192 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 198 to cpu 0
[    0.125203 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01000402
[    0.125214 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 198 to cpu 3
[    0.125226 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01080402
[    0.125243 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 199 to cpu 0
[    0.125254 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x00080402
[    0.125265 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 199 to cpu 0
[    0.125277 / 01-01 00:00:00.120]  (1)[1:swapper/0]reg 0xf02218c4 = 0x01080402
[    0.125294 / 01-01 00:00:00.120]  (1)[1:swapper/0]set irq 200 to cpu 0
